Postcode,SuburbName
3081,Bellfield
3088,Briar Hill
3083,Bundoora
3084,Eaglemont
3095,Eltham
3095,Eltham North
3088,Greensborough
3084,Heidelberg
3081,Heidelberg Heights
3081,Heidelberg West
3079,Ivanhoe
3079,Ivanhoe East
3093,Lower Plenty
3085,Macleod
3094,Montmorency
3084,Rosanna
3088,St Helena
3084,Viewbank
3087,Watsonia
3087,Watsonia North
3085,Yallambie
3193,Beaumaris
3193,Black Rock
3186,Brighton
3187,Brighton East
3192,Cheltenham
3185,Gardenvale
3188,Hampton
3188,Hampton East
3190,Highett
3189,Moorabbin
3191,Sandringham
3147,Ashburton
3103,Balwyn
3104,Balwyn North
3124,Camberwell
3126,Canterbury
3103,Deepdene
3146,Glen Iris
3122,Hawthorn
3123,Hawthorn East
3101,Kew
3102,Kew East
3127,Mont Albert
3127,Mont Albert North
3127,Surrey Hills
3021,Albanvale
3020,Albion
3022,Ardeer
3012,Brooklyn
3023,Cairnlea
3037,Calder Park
3023,Deer Park
3037,Delahey
3030,Derrimut
3037,Hillside
3021,Kealba
3036,Keilor
3038,Keilor Downs
3033,Keilor East
3038,Keilor Lodge
3036,Keilor North
3042,Keilor Park
3021,Kings Park
3021,St Albans
3020,Sunshine
3020,Sunshine North
3020,Sunshine West
3037,Sydenham
3038,Taylors Lakes
3043,Tullamarine
3807,Beaconsfield
3782,Emerald
3809,Officer
3810,Pakenham
3782,Avonsleigh
3981,Bayles
3808,Beaconsfield Upper
3815,Bunyip
3815,Bunyip North
3984,Caldermeade
3978,Cardinia
3981,Catani
3782,Clematis
3781,Cockatoo
3814,Cora Lynn
3981,Dalmore
3809,Dewhurst
3814,Garfield
3814,Garfield North
3783,Gembrook
3807,Guys Hill
3981,Heath Hill
3815,Iona
3981,Koo Wee Rup
3891,Koo Wee Rup North
3984,Lang Lang
3894,Lang Lang East
3816,Longwarry
3812,Maryknoll
3159,Menzies Creek
3816,Modella
3984,Monomeith
3781,Mount Burnett
3781,Nangana
3812,Nar Nar Goon
3812,Nar Nar Goon North
3987,Nyora
3809,Officer South
3810,Pakenham South
3810,Pakenham Upper
3810,Rythdale
3815,Tonimbuk
3977,Tooradin North
3813,Tynong
3813,Tynong North
3814,Vervale
3894,Yannathan
3806,Berwick
3977,Botanic Ridge
3978,Clyde
3978,Clyde North
3977,Cranbourne
3977,Cranbourne East
3977,Cranbourne North
3977,Cranbourne South
3177,Doveton
3802,Endeavour Hills
3177,Eumemmerring
3803,Hallam
3976,Hampton Park
3977,Junction Village
3975,Lynbrook
3805,Narre Warren
3804,Narre Warren North
3805,Narre Warren South
3980,Blind Bight
3977,Cannons Creek
3977,Devon Meadows
3806,Harkaway
3975,Lyndhurst
3156,Lysterfield South
3912,Pearcedale
3980,Tooradin
3980,Warneet
3078,Alphington
3078,Fairfield
3083,Kingsbury
3070,Northcote
3072,Preston
3073,Reservoir
3071,Thornbury
3201,Carrum Downs
3199,Frankston
3200,Frankston North
3199,Frankston South
3910,Langwarrin
3977,Sandhurst
3198,Seaford
3977,Skye
3911,Langwarrin South
3204,Bentleigh
3165,Bentleigh East
3162,Caulfield
3145,Caulfield East
3161,Caulfield North
3162,Caulfield South
3163,Carnegie
3185,Elsternwick
3185,Gardenvale
3163,Glen Huntly
3204,McKinnon
3163,Murrumbeena
3204,Ormond
3183,St Kilda East
3175,Dandenong
3175,Dandenong North
3175,Dandenong South
3173,Keysborough
3174,Noble Park
3174,Noble Park North
3171,Springvale
3172,Springvale South
3175,Bangholme
3018,Altona
3028,Altona Meadows
3025,Altona North
3028,Laverton
3015,Newport
3015,Spotswood
3028,Seabrook
3018,Seaholme
3015,South Kingsville
3016,Williamstown
3016,Williamstown North
3049,Attwood
3047,Broadmeadows
3061,Campbellfield
3048,Coolaroo
3064,Craigieburn
3047,Dallas
3043,Gladstone Park
3059,Greenvale
3047,Jacana
3048,Meadow Heights
3045,Melbourne Airport
3064,Roxburgh Park
3062,Somerton
3049,Westmeadows
3429,Sunbury
3428,Bulla
3430,Clarkefield
3427,Diggers Rest
3064,Kalkallo
3064,Mickleham
3063,Oaklands Junction
3429,Wildwood
3063,Yuroke
3195,Aspendale
3195,Aspendale Gardens
3196,Bonbeach
3195,Braeside
3197,Carrum
3196,Chelsea
3196,Chelsea Heights
3169,Clarinda
3169,Clayton South
3172,Dingley Village
3196,Edithvale
3202,Heatherton
3194,Mentone
3194,Moorabbin Airport
3195,Mordialloc
3195,Parkdale
3197,Patterson Lakes
3195,Waterways
3153,Bayswater
3155,Boronia
3156,Ferntree Gully
3180,Knoxfield
3156,Lysterfield
3178,Rowville
3179,Scoresby
3787,Sassafras
3154,The Basin
3156,Upper Ferntree Gully
3152,Wantirna
3152,Wantirna South
3105,Bulleen
3108,Doncaster
3109,Doncaster East
3111,Donvale
3131,Nunawading
3114,Park Orchards
3134,Ringwood North
3106,Templestowe
3107,Templestowe Lower
3113,Warrandyte
3134,Warrandyte South
3115,Wonga Park
3019,Braybrook
3011,Footscray
3012,Kingsville
3012,Maidstone
3032,Maribyrnong
3011,Seddon
3012,Tottenham
3012,West Footscray
3013,Yarraville
3153,Bayswater North
3136,Croydon
3136,Croydon Hills
3136,Croydon North
3136,Croydon South
3135,Heathmont
3137,Kilsyth
3137,Kilsyth South
3114,Park Orchards
3134,Ringwood
3135,Ringwood East
3133,Vermont
3134,Warranwood
3053,Carlton
3054,Carlton North
3008,Docklands
3002,East Melbourne
3031,Flemington
3031,Kensington
3000,Melbourne CBD
3004,Melbourne CBD (St Kilda Road area)
3051,North Melbourne
3052,Parkville
3207,Port Melbourne
3006,Southbank
3006,South Wharf
3141,South Yarra
3003,West Melbourne
3336,Aintree
3335,Bonnie Brook
3338,Brookfield
3023,Burnside
3023,Burnside Heights
3023,Caroline Springs
3338,Cobblebank
3336,Deanside
3338,Exford
3338,Eynesbury
3024,Fieldstone
3336,Fraser Rise
3335,Grangefields
3337,Harkness
3337,Kurunjang
3337,Melton
3338,Melton South
3337,Melton West
3024,Mount Cottrell
3340,Parwan
3335,Plumpton
3023,Ravenhall
3335,Rockbank
3338,Strathtulloh
3037,Taylors Hill
3335,Thornhill Park
3337,Toolern Vale
3029,Truganina
3338,Weir Views
3147,Ashwood
3125,Burwood
3148,Chadstone
3168,Clayton
3150,Glen Waverley
3166,Hughesdale
3166,Huntingdale
3800,Monash University
3149,Mount Waverley
3170,Mulgrave
3168,Notting Hill
3166,Oakleigh
3166,Oakleigh East
3167,Oakleigh South
3150,Wheelers Hill
3040,Aberfeldie
3042,Airport West
3032,Ascot Vale
3034,Avondale Heights
3040,Essendon
3041,Essendon Fields
3041,Essendon North
3040,Essendon West
3039,Moonee Ponds
